noise_std,spearman_q,kendall_q,mean_deviation_q,metric_name
0.0,1.0,1.0,0.0,CCE
0.05,1.0,1.0,0.0,CCE
0.1,1.0,1.0,0.0,CCE
0.0,1.0,1.0,0.0,F1
0.05,0.2661810810810811,0.1087108108108108,2.621621621621621,F1
0.1,-0.2458432432432432,-0.3633810810810811,3.65945945945946,F1
0.0,1.0,1.0,0.0,F1-PA
0.05,0.2661810810810811,0.1087108108108108,2.621621621621621,F1-PA
0.1,-0.2458432432432432,-0.3633810810810811,3.65945945945946,F1-PA
0.0,0.9996729729729732,0.9988,0.0054054054054054,Reduced-F1
0.05,0.2661810810810811,0.1087108108108108,2.621621621621621,Reduced-F1
0.1,-0.2458432432432432,-0.3633810810810811,3.65945945945946,Reduced-F1
0.0,0.8823918918918918,0.8870810810810812,0.5081081081081081,R-based F1
0.05,0.2514243243243243,0.0726702702702702,2.783783783783784,R-based F1
0.1,-0.2507486486486486,-0.3814216216216216,3.740540540540541,R-based F1
0.0,0.8856675675675676,0.8066108108108108,0.7675675675675676,eTaPR
0.05,0.7252566666666667,0.6385166666666666,1.346666666666667,eTaPR
0.1,0.7280833333333334,0.6444399999999999,1.3266666666666669,eTaPR
0.0,0.9868972972972972,0.9675702702702704,0.1351351351351351,Aff-F1
0.05,0.7801810810810811,0.7225297297297297,0.7675675675675676,Aff-F1
0.1,0.7284243243243242,0.6756783783783784,0.8594594594594595,Aff-F1
0.0,0.9764162162162162,0.953154054054054,0.1783783783783783,UAff-F1
0.05,0.775918918918919,0.7177243243243243,0.7891891891891891,UAff-F1
0.1,0.7222,0.6672702702702703,0.8972972972972973,UAff-F1
0.0,1.0,1.0,0.0,AUC-ROC
0.05,1.0,1.0,0.0,AUC-ROC
0.1,1.0,1.0,0.0,AUC-ROC
0.0,1.0,1.0,0.0,VUS-ROC
0.05,1.0,1.0,0.0,VUS-ROC
0.1,1.0,1.0,0.0,VUS-ROC
