case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,p,val,latency
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.4,0.1,0.8463811040352579,7030.224837828428
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.4,0.1,0.8463811040352579,7394.268326926976
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.4,0.3,0.7971382290025979,9082.364651141688
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.4,0.3,0.7971382290025979,8670.778757892549
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.4,0.3,0.7971382290025979,7328.83739285171
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.5,0.01,0.9055340670265636,7413.157358998433
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.5,0.01,0.9055340670265636,7472.657655132934
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.5,0.01,0.9055340670265636,7357.5451341457665
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.5,0.05,0.8922451799421813,7423.502461984754
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.5,0.05,0.8922451799421813,7449.971212074161
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.5,0.05,0.8922451799421813,7230.241328943521
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.5,0.1,0.8754343376907979,7487.811343977228
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.5,0.1,0.8754343376907979,7464.879577048123
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.5,0.1,0.8754343376907979,7615.10978708975
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.5,0.3,0.8211785984149876,7221.99489781633
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.5,0.3,0.8211785984149876,6968.748026061803
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.5,0.3,0.8211785984149876,6294.295256957412
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.6,0.01,0.9286484889262945,6400.721955811605
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.6,0.01,0.9286484889262945,6279.198443051428
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.6,0.01,0.9286484889262945,9319.76786791347
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.6,0.05,0.9155415971699848,6825.691652018577
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.6,0.05,0.9155415971699848,7251.749050104991
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.6,0.05,0.9155415971699848,6353.618798777461
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.6,0.1,0.9018430081992713,6404.062773101032
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.6,0.1,0.9018430081992713,6272.232695948333
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.6,0.1,0.9018430081992713,7782.854428049177
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.6,0.3,0.8526891837335768,8459.921560948715
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.6,0.3,0.8526891837335768,7588.1852300371975
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.6,0.3,0.8526891837335768,7081.702114082873
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.7,0.01,0.9495573863320156,7369.649199070409
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.7,0.01,0.9495573863320156,7068.991455016658
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.7,0.01,0.9495573863320156,7394.024227978662
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.7,0.05,0.9379907478057227,7184.0167690534145
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.7,0.05,0.9379907478057227,7571.300762007013
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.7,0.05,0.9379907478057227,7210.194675019011
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.7,0.1,0.9259475159921947,7385.539218084887
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.7,0.1,0.9259475159921947,7139.136842917651
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.7,0.1,0.9259475159921947,7804.581853095442
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.7,0.3,0.8733706509442859,7306.954232044518
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.7,0.3,0.8733706509442859,7628.191142110154
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.7,0.3,0.8733706509442859,7598.83346199058
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.8,0.01,0.9720030148052368,7716.373619856313
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.8,0.01,0.9720030148052368,7416.978070046753
